Estimation;EKF;;;;;
Acquisition;Simulation;;;;;
Representation;Euler Angles;;;;;
Time interval(s);12.0;Samp. Frequency(Hz);200;;;
Simulation Time(ms);552.819;Estimation time(ms);1257.446;Total Time(s);12.019;
Rotation Speed RPY(deg/s);0;0;30;Rotation Start/Stop(s);;
Initial RPY(deg);0;0;0;;;
Accelerometer Noise Power;0.038214;Accelerometer Noise Offset;0.0195;;;
Gyrometer Noise Power;0.01749;Gyrometer Noise Offset;0.0322;;;
Magnetometer Noise Power;1.204;;;;;
RMSE Roll(deg);1.96;RMSE Pitch(deg);2.07;RMSE Yaw(deg);2.82;Average RMSE(deg)
RMSE Roll(%);1.09;RMSE Pitch(%);1.15;RMSE Yaw(%);1.57;Average RMSE(%)
t(s);;;;r_est(d);p_est(d);y_est(d)
2.605;;;;0.41;-0.39;77.60
2.610;;;;0.27;1.44;79.25
2.615;;;;2.23;0.56;79.40
2.620;;;;0.92;0.45;81.62
2.625;;;;0.55;-0.18;80.49
2.630;;;;-0.51;-0.64;81.18
2.635;;;;0.84;-3.31;82.72
2.640;;;;1.96;-2.62;85.18
2.645;;;;-0.58;-1.80;79.76
2.650;;;;1.50;-3.17;81.45
2.655;;;;-0.24;-0.53;83.33
2.660;;;;-2.42;0.84;78.25
2.665;;;;-0.29;-1.16;81.13
2.670;;;;1.18;-1.32;82.10
2.675;;;;0.97;-0.66;83.05
2.680;;;;2.39;-0.71;81.03
2.685;;;;-1.47;2.99;79.77
2.690;;;;-0.72;-3.51;85.38
2.695;;;;-1.50;-0.93;83.63
2.700;;;;-0.71;-2.64;84.13
2.705;;;;-1.47;-0.15;82.01
2.710;;;;0.06;0.10;83.49
2.715;;;;0.24;-1.88;84.52
2.720;;;;1.94;1.60;79.30
2.725;;;;-1.13;0.14;82.63
2.730;;;;3.06;-0.71;81.50
2.735;;;;0.94;-1.71;84.15
2.740;;;;-0.21;-3.64;85.47
2.745;;;;-1.60;0.11;81.91
2.750;;;;1.90;-3.70;86.16
2.755;;;;1.26;-4.75;86.07
2.760;;;;-1.88;-0.02;87.29
2.765;;;;0.54;1.75;79.43
2.770;;;;2.94;-0.19;83.76
2.775;;;;2.39;0.20;82.48
2.780;;;;1.12;-3.39;88.52
