Line;Roll_Arduino;Pitch_Arduino;Yaw_Arduino;Roll_CSV;Pitch_CSV;Yaw_CSV;RMSE_Roll;RMSE_Pitch;RMSE_Yaw
1400;-0.29;-4.56;-149.96;0.05;-3.8;-152.15;0.33999999999999997;0.7599999999999998;2.1899999999999977
1401;-3.4;-5.67;-149.4;-2.46;-4.29;-149.64;0.94;1.38;0.23999999999998067
1402;2.59;0.95;-145.94;2.0;-0.17;-148.71;0.5899999999999999;1.1199999999999999;2.7700000000000102
1403;5.0;-2.4;-152.22;4.64;-1.57;-155.48;0.3600000000000003;0.8299999999999998;3.259999999999991
1404;-1.76;-2.98;-148.92;-0.71;-1.86;-150.61;1.05;1.1199999999999999;1.6900000000000261
1405;0.04;-2.71;-145.29;0.51;-2.05;-147.92;0.47000000000000003;0.6600000000000001;2.6299999999999955
1406;2.66;-3.97;-150.0;2.8;-2.61;-152.73;0.13999999999999968;1.3600000000000003;2.7299999999999898
1407;1.24;-2.42;-148.46;1.47;-2.27;-151.66;0.22999999999999998;0.1499999999999999;3.1999999999999886
1408;-0.28;0.99;-148.78;-0.14;0.42;-149.28;0.14;0.5700000000000001;0.5
1409;-0.4;2.82;-151.82;-0.86;1.84;-149.61;0.45999999999999996;0.9799999999999998;2.2099999999999795
1410;3.06;-3.85;-150.89;2.98;-2.7;-153.83;0.08000000000000007;1.15;2.940000000000026
1411;-0.78;3.35;-146.86;-0.2;2.3;-147.72;0.5800000000000001;1.0500000000000003;0.8599999999999852
1412;-0.73;0.19;-148.83;-0.6;0.51;-147.82;0.13;0.32;1.0100000000000193
1413;1.11;-0.19;-147.62;1.12;0.16;-148.43;0.010000000000000009;0.35;0.8100000000000023
1414;1.01;-2.3;-146.61;1.14;-1.86;-148.73;0.1299999999999999;0.4399999999999997;2.119999999999976
1415;2.53;-1.53;-149.31;2.17;-1.59;-151.48;0.3599999999999999;0.06000000000000005;2.1699999999999875
1416;-0.86;-1.27;-150.31;-0.55;-1.11;-150.58;0.30999999999999994;0.15999999999999992;0.27000000000001023
1417;1.31;2.61;-145.65;1.33;1.91;-147.11;0.020000000000000018;0.7;1.460000000000008
1418;3.4;-5.18;-148.23;3.38;-4.24;-152.09;0.020000000000000018;0.9399999999999995;3.8600000000000136
1419;0.02;-0.04;-145.2;0.49;-0.58;-147.72;0.47;0.5399999999999999;2.5200000000000102
1420;-1.11;-1.7;-146.51;-0.83;-1.39;-146.78;0.28000000000000014;0.31000000000000005;0.27000000000001023
1421;3.51;-0.47;-148.91;2.79;-0.57;-150.74;0.7199999999999998;0.09999999999999998;1.8300000000000125
1422;-1.81;-0.14;-148.57;-0.99;0.57;-148.04;0.8200000000000001;0.71;0.5300000000000011
1423;1.48;-0.99;-146.82;1.24;-0.99;-148.49;0.24;0.0;1.670000000000016
1424;1.45;-2.58;-145.26;1.34;-2.66;-148.41;0.10999999999999988;0.08000000000000007;3.1500000000000057
1425;1.38;-0.29;-145.14;1.32;-0.71;-147.37;0.05999999999999983;0.42;2.230000000000018
1426;1.59;3.06;-146.49;1.14;1.99;-146.72;0.4500000000000002;1.07;0.22999999999998977
1427;5.27;-1.94;-142.94;5.32;-1.0;-148.16;0.05000000000000071;0.94;5.219999999999999
1428;2.58;-4.74;-146.05;3.19;-3.49;-150.3;0.6099999999999999;1.25;4.25
1429;1.12;-1.85;-144.17;1.33;-2.12;-147.89;0.20999999999999996;0.27;3.719999999999999
